Date,Sample,Attempted,Succesful,Note,Folder,Experiment,Path
28/02/2023,yeast,2,2,,2023,yeast-carrier-03-2023-02-28.01-20-04PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/yeast-carrier-03-2023-02-28.01-20-04PM
28/02/2023,yeast,2,0,"Arc, Landing",2023,yeast-carrier-04-2023-02-28.03-20-37PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/yeast-carrier-04-2023-02-28.03-20-37PM
28/02/2023,yeast,2,0,"Landing, Sever",2023,yeast-carrier-02-2023-02-28.10-41-03AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/yeast-carrier-02-2023-02-28.10-41-03AM
20/02/2023,yeast,3,2,JCut,2023,yeast-carrier-01-2023-02-20.11-47-45AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/yeast-carrier-01-2023-02-20.11-47-45AM
29/03/2023,dm-embryo,8,4,Sever,2023,Dm-BoxIpos3-21October2022--2023-03-29.04-33-28PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Dm-BoxIpos3-21October2022--2023-03-29.04-33-28PM
26/03/2023,yeast,10,7,Sever,2023,Yeast-5August2022-OverNightRUN-2023-03-26.05-03-12PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Yeast-5August2022-OverNightRUN-2023-03-26.05-03-12PM
04/04/2023,celegans,2,0,Sever,2023,Celegans-31March2023--2023-04-04.12-12-16PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Celegans-31March2023--2023-04-04.12-12-16PM
04/04/2023,celegans,1,1,,2023,Celegans-31March2023-SecondTime-2023-04-04.02-53-52PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Celegans-31March2023-SecondTime-2023-04-04.02-53-52PM
12/04/2023,celegans,2,1,Sever,2023,celegans-06-04-2023-2023-04-12.11-46-28AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/celegans-06-04-2023-2023-04-12.11-46-28AM
12/04/2023,celegans,4,3,No Attempt,2023,celegans-OVERNIGHT-06-04-2023-2023-04-12.05-26-54PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/celegans-OVERNIGHT-06-04-2023-2023-04-12.05-26-54PM
29/3/2023,dm-embryo,0,0,Development (ML),2023,Dm-15March2023-box3-pos4--2023-03-28.03-03-46PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Dm-15March2023-box3-pos4--2023-03-28.03-03-46PM
29/3/2023,dm-embryo,2,1,"SpotWeld, Sever",2023,Dm-BoxIpos3-21Oct2022-2023-03-29.10-06-59AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Dm-BoxIpos3-21Oct2022-2023-03-29.10-06-59AM
21/3/2023,yeast,10,5,"Landing, Sever",2023,yeast-5Aug-22-OvernightRun-2023-03-21.04-21-10PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/yeast-5Aug-22-OvernightRun-2023-03-21.04-21-10PM
21/3/2023,yeast,3,2,Sever,2023,Yeast_05082022-2023-03-21.11-04-07AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/Yeast_05082022-2023-03-21.11-04-07AM
21/2/2023,yeast,0,0,Development (ML),2023,21-02-2023_yeast-2023-02-21.10-56-00AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2023/21-02-2023_yeast-2023-02-21.10-56-00AM
